ticker,timestamp,open,high,low,close,volume,day,minute,day_timestamp,is_weeks_first,is_weeks_end
AAPL,01-Aug-2019 09:30,214.16,215.89,213.82,215.45,1708680,18109,0,2019-08-01,False,False
AAPL,01-Aug-2019 09:35,214.94,215.62,214.82,215.23,766944,18109,5,2019-08-01,False,False
AAPL,01-Aug-2019 09:40,215.2,215.26,214.22,214.44,814389,18109,10,2019-08-01,False,False
AAPL,01-Aug-2019 09:45,214.45,214.46,214.08,214.41,122115,18109,15,2019-08-01,False,False
AAPL,01-Aug-2019 09:50,214.14,214.63,214.14,214.46,484000,18109,20,2019-08-01,False,False
AAPL,01-Aug-2019 09:55,214.47,214.87,214.02,214.81,194161,18109,25,2019-08-01,False,False
AAPL,01-Aug-2019 10:00,214.91,215.2,214.1,215.15,391372,18109,30,2019-08-01,False,False
AAPL,01-Aug-2019 10:05,215.16,215.74,215.16,215.71,306984,18109,35,2019-08-01,False,False
AAPL,01-Aug-2019 10:10,215.58,215.89,215.38,215.84,454428,18109,40,2019-08-01,False,False
AAPL,01-Aug-2019 10:15,215.83,216.16,215.66,216.09,421962,18109,45,2019-08-01,False,False
AAPL,01-Aug-2019 10:20,216.08,216.73,216.02,216.49,578768,18109,50,2019-08-01,False,False
AAPL,01-Aug-2019 10:25,216.49,216.86,216.49,216.84,357569,18109,55,2019-08-01,False,False
AAPL,01-Aug-2019 10:30,216.84,216.96,216.84,216.88,36913,18109,60,2019-08-01,False,False
AAPL,01-Aug-2019 10:35,216.59,216.81,216.5,216.5,310839,18109,65,2019-08-01,False,False
AAPL,01-Aug-2019 10:40,216.5,216.64,216.5,216.54,74988,18109,70,2019-08-01,False,False
AAPL,01-Aug-2019 10:45,216.87,217.26,216.87,217.24,480003,18109,75,2019-08-01,False,False
AAPL,01-Aug-2019 10:50,217.25,217.59,217.25,217.47,273430,18109,80,2019-08-01,False,False
AAPL,01-Aug-2019 10:55,217.53,217.54,217.15,217.21,358736,18109,85,2019-08-01,False,False
AAPL,01-Aug-2019 11:00,217.22,217.77,217.2,217.63,307981,18109,90,2019-08-01,False,False
AAPL,01-Aug-2019 11:05,217.37,217.47,217.15,217.31,323380,18109,95,2019-08-01,False,False
AAPL,01-Aug-2019 11:10,217.33,217.38,217.01,217.12,292817,18109,100,2019-08-01,False,False
AAPL,01-Aug-2019 11:15,216.95,217.16,216.87,217.13,296325,18109,105,2019-08-01,False,False
AAPL,01-Aug-2019 11:20,217.13,217.36,217.11,217.26,264906,18109,110,2019-08-01,False,False
AAPL,01-Aug-2019 11:25,217.25,217.25,217.24,217.25,4418,18109,115,2019-08-01,False,False
AAPL,01-Aug-2019 11:30,217.66,217.67,217.15,217.27,202519,18109,120,2019-08-01,False,False
AAPL,01-Aug-2019 11:35,217.27,217.3,217.05,217.16,91126,18109,125,2019-08-01,False,False
AAPL,01-Aug-2019 11:40,217.35,217.57,217.26,217.52,208678,18109,130,2019-08-01,False,False
AAPL,01-Aug-2019 11:45,217.51,217.57,217.39,217.43,72416,18109,135,2019-08-01,False,False
AAPL,01-Aug-2019 11:50,217.82,218.03,217.1,217.8,444940,18109,140,2019-08-01,False,False
AAPL,01-Aug-2019 11:55,217.8,217.81,217.41,217.52,190157,18109,145,2019-08-01,False,False
AAPL,01-Aug-2019 12:00,217.51,217.53,217.42,217.44,204891,18109,150,2019-08-01,False,False
AAPL,01-Aug-2019 12:05,217.47,217.55,217.24,217.25,174046,18109,155,2019-08-01,False,False
AAPL,01-Aug-2019 12:10,217.29,217.44,217.29,217.36,160619,18109,160,2019-08-01,False,False
AAPL,01-Aug-2019 12:15,217.36,217.36,216.92,216.93,258123,18109,165,2019-08-01,False,False
AAPL,01-Aug-2019 12:20,216.94,216.98,216.94,216.98,17220,18109,170,2019-08-01,False,False
AAPL,01-Aug-2019 12:25,217.07,217.36,217.01,217.31,290771,18109,175,2019-08-01,False,False
AAPL,01-Aug-2019 12:30,217.32,217.37,217.27,217.3,37025,18109,180,2019-08-01,False,False
AAPL,01-Aug-2019 12:35,217.18,217.23,217.0,217.03,115191,18109,185,2019-08-01,False,False
AAPL,01-Aug-2019 12:40,217.03,217.24,217.0,217.18,82623,18109,190,2019-08-01,False,False
AAPL,01-Aug-2019 12:45,217.15,217.25,217.03,217.07,156932,18109,195,2019-08-01,False,False
AAPL,01-Aug-2019 12:50,217.08,217.16,216.1,217.02,70278,18109,200,2019-08-01,False,False
AAPL,01-Aug-2019 12:55,217.04,217.05,216.1,216.77,245251,18109,205,2019-08-01,False,False
AAPL,01-Aug-2019 13:00,216.78,216.93,216.78,216.87,95966,18109,210,2019-08-01,False,False
AAPL,01-Aug-2019 13:05,216.84,216.93,216.82,216.91,86011,18109,215,2019-08-01,False,False
AAPL,01-Aug-2019 13:10,216.9,216.98,216.79,216.91,108205,18109,220,2019-08-01,False,False
AAPL,01-Aug-2019 13:15,216.9,216.95,216.86,216.86,110345,18109,225,2019-08-01,False,False
AAPL,01-Aug-2019 13:20,216.86,216.92,216.82,216.91,130907,18109,230,2019-08-01,False,False
