ticker,timestamp,open,high,low,close,volume,day,minute,day_timestamp,is_weeks_first,is_weeks_end
AAL,01-Aug-2019 09:30,30.45,30.52,30.28,30.37,136538,18109,0,2019-08-01,False,False
AAL,01-Aug-2019 09:35,30.29,30.39,30.18,30.2,130152,18109,5,2019-08-01,False,False
AAL,01-Aug-2019 09:40,30.21,30.28,30.12,30.22,90131,18109,10,2019-08-01,False,False
AAL,01-Aug-2019 09:45,30.24,30.32,30.22,30.32,19200,18109,15,2019-08-01,False,False
AAL,01-Aug-2019 09:50,30.39,30.43,30.28,30.29,34237,18109,20,2019-08-01,False,False
AAL,01-Aug-2019 09:55,30.29,30.43,30.26,30.35,20199,18109,25,2019-08-01,False,False
AAL,01-Aug-2019 10:00,30.29,30.35,30.26,30.28,52393,18109,30,2019-08-01,False,False
AAL,01-Aug-2019 10:05,30.27,30.38,30.25,30.35,28948,18109,35,2019-08-01,False,False
AAL,01-Aug-2019 10:10,30.39,30.41,30.31,30.33,49714,18109,40,2019-08-01,False,False
AAL,01-Aug-2019 10:15,30.34,30.36,30.28,30.33,30133,18109,45,2019-08-01,False,False
AAL,01-Aug-2019 10:20,30.35,30.37,30.31,30.33,22866,18109,50,2019-08-01,False,False
AAL,01-Aug-2019 10:25,30.32,30.34,30.28,30.32,45097,18109,55,2019-08-01,False,False
AAL,01-Aug-2019 10:30,30.32,30.32,30.32,30.32,900,18109,60,2019-08-01,False,False
AAL,01-Aug-2019 10:35,30.48,30.55,30.47,30.47,68378,18109,65,2019-08-01,False,False
AAL,01-Aug-2019 10:40,30.48,30.5,30.47,30.5,4181,18109,70,2019-08-01,False,False
AAL,01-Aug-2019 10:45,30.49,30.49,30.35,30.4,73131,18109,75,2019-08-01,False,False
AAL,01-Aug-2019 10:50,30.4,30.44,30.36,30.38,16857,18109,80,2019-08-01,False,False
AAL,01-Aug-2019 10:55,30.41,30.47,30.4,30.47,30808,18109,85,2019-08-01,False,False
AAL,01-Aug-2019 11:00,30.47,30.55,30.46,30.55,28004,18109,90,2019-08-01,False,False
AAL,01-Aug-2019 11:05,30.5,30.5,30.45,30.47,24963,18109,95,2019-08-01,False,False
AAL,01-Aug-2019 11:10,30.46,30.55,30.46,30.54,29783,18109,100,2019-08-01,False,False
AAL,01-Aug-2019 11:15,30.54,30.54,30.47,30.52,24324,18109,105,2019-08-01,False,False
AAL,01-Aug-2019 11:20,30.52,30.53,30.47,30.48,28184,18109,110,2019-08-01,False,False
AAL,01-Aug-2019 11:25,30.47,30.49,30.47,30.49,1900,18109,115,2019-08-01,False,False
AAL,01-Aug-2019 11:30,30.55,30.55,30.46,30.49,27320,18109,120,2019-08-01,False,False
AAL,01-Aug-2019 11:35,30.5,30.54,30.5,30.54,3478,18109,125,2019-08-01,False,False
AAL,01-Aug-2019 11:40,30.53,30.56,30.52,30.54,20557,18109,130,2019-08-01,False,False
AAL,01-Aug-2019 11:45,30.53,30.55,30.5,30.51,12382,18109,135,2019-08-01,False,False
AAL,01-Aug-2019 11:50,30.51,30.52,30.47,30.48,21342,18109,140,2019-08-01,False,False
AAL,01-Aug-2019 11:55,30.48,30.49,30.43,30.43,29787,18109,145,2019-08-01,False,False
AAL,01-Aug-2019 12:00,30.4,30.41,30.36,30.4,49042,18109,150,2019-08-01,False,False
AAL,01-Aug-2019 12:05,30.39,30.41,30.39,30.39,13325,18109,155,2019-08-01,False,False
AAL,01-Aug-2019 12:10,30.39,30.39,30.3,30.31,54422,18109,160,2019-08-01,False,False
AAL,01-Aug-2019 12:15,30.3,30.31,30.26,30.27,32322,18109,165,2019-08-01,False,False
AAL,01-Aug-2019 12:20,30.27,30.27,30.26,30.26,1400,18109,170,2019-08-01,False,False
AAL,01-Aug-2019 12:25,30.28,30.31,30.26,30.29,71605,18109,175,2019-08-01,False,False
AAL,01-Aug-2019 12:30,30.3,30.3,30.29,30.29,4984,18109,180,2019-08-01,False,False
AAL,01-Aug-2019 12:35,30.33,30.34,30.28,30.31,46774,18109,185,2019-08-01,False,False
AAL,01-Aug-2019 12:40,30.31,30.34,30.3,30.31,10734,18109,190,2019-08-01,False,False
AAL,01-Aug-2019 12:45,30.29,30.3,30.22,30.22,38034,18109,195,2019-08-01,False,False
AAL,01-Aug-2019 12:50,30.23,30.24,30.2,30.2,23783,18109,200,2019-08-01,False,False
AAL,01-Aug-2019 12:55,30.24,30.32,30.23,30.31,24465,18109,205,2019-08-01,False,False
AAL,01-Aug-2019 13:00,30.31,30.31,30.27,30.28,13979,18109,210,2019-08-01,False,False
AAL,01-Aug-2019 13:05,30.26,30.3,30.25,30.29,35226,18109,215,2019-08-01,False,False
AAL,01-Aug-2019 13:10,30.29,30.3,30.28,30.28,12786,18109,220,2019-08-01,False,False
AAL,01-Aug-2019 13:15,30.25,30.27,30.23,30.25,26304,18109,225,2019-08-01,False,False
AAL,01-Aug-2019 13:20,30.25,30.27,30.23,30.26,39676,18109,230,2019-08-01,False,False
AAL,01-Aug-2019 13:25,30.26,30.26,30.26,30.26,700,18109,235,2019-08-01,False,False
AAL,01-Aug-2019 13:30,30.01,30.04,29.72,29.72,380054,18109,240,2019-08-01,False,False
AAL,01-Aug-2019 13:35,29.72,29.73,29.66,29.7,59511,18109,245,2019-08-01,False,False
AAL,01-Aug-2019 13:40,29.6,29.7,29.52,29.56,117361,18109,250,2019-08-01,False,False
AAL,01-Aug-2019 13:45,29.55,29.63,29.52,29.58,66242,18109,255,2019-08-01,False,False
AAL,01-Aug-2019 13:50,29.6,29.68,29.56,29.57,124813,18109,260,2019-08-01,False,False
AAL,01-Aug-2019 13:55,29.57,29.65,29.56,29.59,86171,18109,265,2019-08-01,False,False
AAL,01-Aug-2019 14:00,29.74,29.78,29.6,29.6,76553,18109,270,2019-08-01,False,False
AAL,01-Aug-2019 14:05,29.61,29.7,29.54,29.56,144625,18109,275,2019-08-01,False,False
AAL,01-Aug-2019 14:10,29.55,29.66,29.43,29.64,286296,18109,280,2019-08-01,False,False
AAL,01-Aug-2019 14:15,29.64,29.66,29.58,29.63,86481,18109,285,2019-08-01,False,False
AAL,01-Aug-2019 14:20,29.64,29.64,29.63,29.63,1000,18109,290,2019-08-01,False,False
AAL,01-Aug-2019 14:25,29.56,29.63,29.52,29.62,74396,18109,295,2019-08-01,False,False
AAL,01-Aug-2019 14:30,29.62,29.63,29.57,29.58,15482,18109,300,2019-08-01,False,False
AAL,01-Aug-2019 14:35,29.63,29.66,29.58,29.58,46547,18109,305,2019-08-01,False,False
AAL,01-Aug-2019 14:40,29.58,29.65,29.58,29.6,15357,18109,310,2019-08-01,False,False
AAL,01-Aug-2019 14:45,29.55,29.71,29.54,29.7,83758,18109,315,2019-08-01,False,False
AAL,01-Aug-2019 14:50,29.71,29.77,29.69,29.74,39212,18109,320,2019-08-01,False,False
AAL,01-Aug-2019 14:55,29.7,29.7,29.64,29.69,39163,18109,325,2019-08-01,False,False
AAL,01-Aug-2019 15:00,29.7,29.71,29.6,29.66,51929,18109,330,2019-08-01,False,False
AAL,01-Aug-2019 15:05,29.67,29.7,29.61,29.64,57975,18109,335,2019-08-01,False,False
