ticker,count,min,max,median,mean,std
AABA,11,0.962,1.0,1.0,0.996,0.011
AACG,1,0.025,0.025,0.025,0.025,
AAL,12,0.658,1.0,1.0,0.968,0.098
AAME,12,0.012,0.151,0.05,0.05,0.039
AAOI,12,0.531,1.0,1.0,0.956,0.134
AAON,12,0.367,1.0,0.886,0.836,0.172
AAPL,12,0.962,1.0,1.0,0.993,0.014
AAWW,12,0.544,1.0,1.0,0.955,0.13
AAXJ,12,0.544,1.0,1.0,0.958,0.131
AAXN,12,0.544,1.0,1.0,0.958,0.131
ABCB,12,0.518,1.0,0.987,0.945,0.136
ABDC,12,0.139,0.911,0.316,0.396,0.266
ABEO,12,0.582,1.0,1.0,0.959,0.119
ABEOW,5,0.012,0.075,0.012,0.027,0.027
ABIL,12,0.139,0.468,0.24,0.257,0.095
ABIO,12,0.202,0.481,0.297,0.336,0.095
