ticker,count,min,max,median,mean,std
AABA,22,0.911,1.0,1.0,0.994,0.02
AACG,140,0.012,0.468,0.151,0.161,0.079
AAL,194,0.569,1.0,1.0,0.993,0.042
AAME,177,0.012,0.392,0.063,0.077,0.06
AAOI,194,0.531,1.0,1.0,0.985,0.05
AAON,194,0.367,1.0,0.924,0.893,0.099
AAPL,194,0.797,1.0,1.0,0.996,0.021
AAWW,194,0.493,1.0,1.0,0.985,0.052
AAXJ,194,0.544,1.0,1.0,0.992,0.048
AAXN,194,0.544,1.0,1.0,0.992,0.049
ABCB,194,0.493,1.0,1.0,0.98,0.055
ABDC,127,0.063,0.911,0.265,0.321,0.166
ABEO,194,0.582,1.0,1.0,0.983,0.05
ABEOW,46,0.012,0.139,0.012,0.026,0.026
ABIL,85,0.113,0.607,0.278,0.307,0.12
ABIO,194,0.088,0.974,0.316,0.348,0.155
ABMD,194,0.544,1.0,1.0,0.992,0.048
ABTX,194,0.455,1.0,0.873,0.848,0.125
ABUS,194,0.493,1.0,0.936,0.905,0.102
ACAD,194,0.544,1.0,1.0,0.993,0.047
ACAM,120,0.012,0.202,0.031,0.039,0.031
ACAMU,75,0.012,0.265,0.025,0.03,0.035
ACAMW,84,0.012,0.974,0.025,0.075,0.17
ACBI,194,0.291,1.0,0.81,0.781,0.129
ACER,194,0.253,1.0,0.569,0.574,0.172
ACGL,194,0.544,1.0,1.0,0.993,0.048
ACGLO,194,0.139,0.911,0.341,0.387,0.17
ACGLP,194,0.215,0.924,0.455,0.485,0.161
ACHC,194,0.544,1.0,1.0,0.991,0.049
ACHN,123,0.544,1.0,1.0,0.991,0.056
ACHV,194,0.24,1.0,0.835,0.746,0.236
ACIA,194,0.531,1.0,0.987,0.972,0.056
ACIU,194,0.278,0.987,0.797,0.769,0.156
ACIW,194,0.531,1.0,1.0,0.991,0.049
ACLS,194,0.443,1.0,0.962,0.942,0.07
ACMR,194,0.379,1.0,0.942,0.846,0.176
ACNB,194,0.037,0.81,0.202,0.24,0.154
ACOR,194,0.544,1.0,1.0,0.992,0.048
ACRS,194,0.531,1.0,0.987,0.956,0.072
ACRX,194,0.556,1.0,0.987,0.975,0.053
ACST,194,0.607,1.0,1.0,0.97,0.054
ACT,194,0.012,0.303,0.063,0.077,0.046
ACTG,194,0.24,1.0,0.67,0.675,0.182
ACTT,151,0.012,0.987,0.05,0.106,0.137
ACTTU,94,0.012,0.291,0.025,0.03,0.035
ACTTW,139,0.012,0.481,0.025,0.043,0.06
ACWI,194,0.544,1.0,1.0,0.992,0.048
ACWX,194,0.531,1.0,1.0,0.988,0.05
ADAP,194,0.531,1.0,0.962,0.94,0.073
ADBE,194,0.582,1.0,1.0,0.993,0.044
ADES,194,0.43,1.0,0.898,0.875,0.102
ADI,194,0.569,1.0,1.0,0.993,0.046
ADIL,194,0.075,0.974,0.291,0.333,0.183
ADILW,62,0.012,0.101,0.018,0.023,0.017
ADMA,194,0.531,1.0,1.0,0.987,0.049
ADMP,194,0.62,1.0,0.974,0.954,0.066
ADMS,194,0.544,1.0,0.974,0.961,0.06
ADOM,15,0.683,1.0,0.898,0.867,0.112
ADP,194,0.569,1.0,1.0,0.993,0.046
